iter	Passed	Remaining
0	1	1911
1	4	2044
2	4	1639
3	6	1573
4	7	1499
5	8	1441
6	9	1406
7	11	1404
8	12	1381
9	14	1459
10	15	1390
11	17	1450
12	19	1451
13	19	1386
14	20	1374
15	22	1365
16	23	1377
17	25	1396
18	27	1394
19	29	1448
20	31	1463
21	35	1590
22	36	1549
23	40	1655
24	43	1714
25	46	1730
26	48	1732
27	48	1695
28	50	1691
29	53	1721
30	54	1705
31	55	1692
32	57	1693
33	59	1692
34	62	1722
35	63	1706
36	65	1699
37	67	1708
38	68	1693
39	69	1678
40	71	1667
41	72	1652
42	73	1636
43	74	1622
44	75	1609
45	76	1589
46	78	1598
47	79	1577
48	81	1574
49	82	1573
50	83	1552
51	84	1545
52	87	1559
53	88	1552
54	90	1547
55	91	1547
56	93	1551
57	95	1551
58	97	1553
59	99	1560
60	101	1558
61	102	1544
62	103	1533
63	104	1530
64	106	1527
65	108	1529
66	110	1536
67	111	1530
68	113	1525
69	115	1528
70	116	1525
71	117	1519
72	120	1526
73	121	1514
74	122	1509
75	123	1507
76	124	1493
77	126	1491
78	128	1492
79	129	1490
80	131	1486
81	132	1484
82	133	1472
83	134	1466
84	135	1462
85	137	1457
86	139	1465
87	141	1465
88	143	1468
89	144	1464
90	146	1462
91	148	1466
92	150	1465
93	151	1461
94	152	1455
95	156	1471
96	156	1459
97	158	1457
98	160	1458
99	161	1455
100	163	1451
101	165	1455
102	166	1450
103	167	1446
104	169	1442
105	170	1438
106	172	1439
107	174	1437
108	175	1434
109	177	1434
110	178	1429
111	179	1426
112	181	1424
113	185	1441
114	187	1440
115	188	1437
116	191	1441
117	192	1438
118	193	1429
119	195	1432
120	197	1433
121	198	1428
122	200	1426
123	201	1424
124	204	1428
125	205	1425
126	206	1422
127	208	1418
128	209	1416
129	211	1414
130	212	1411
131	214	1413
132	216	1410
133	217	1407
134	219	1404
135	220	1402
136	222	1400
137	223	1398
138	225	1394
139	227	1396
140	228	1393
141	230	1389
142	231	1387
143	232	1384
144	235	1390
145	237	1388
146	239	1388
147	241	1388
148	242	1385
149	244	1383
150	245	1380
151	247	1380
152	248	1377
153	250	1377
154	252	1376
155	253	1373
156	254	1369
157	256	1365
158	257	1361
159	258	1358
160	259	1354
161	262	1355
162	263	1355
163	265	1351
164	266	1348
165	267	1345
166	269	1343
167	270	1340
168	271	1336
169	274	1339
170	275	1337
171	277	1335
172	279	1333
173	280	1330
174	282	1333
175	284	1329
176	285	1326
177	286	1323
178	286	1316
179	288	1313
180	289	1309
181	291	1307
182	292	1304
183	293	1303
184	295	1302
185	296	1299
186	298	1295
187	299	1292
188	300	1288
189	301	1286
190	303	1283
191	304	1281
192	306	1282
193	307	1279
194	309	1275
195	310	1274
196	312	1271
197	313	1270
198	315	1268
199	316	1265
200	317	1262
201	319	1262
202	321	1261
203	322	1259
204	324	1258
205	325	1255
206	327	1252
207	328	1250
208	329	1248
209	331	1247
210	332	1244
211	334	1242
212	335	1240
213	337	1237
